Trip id	Start Station	Start Time	End Station	End Time	Duration
300	Lower Jarvis / Queens Quay E	2014-12-26 17:07	Phoebe St / Spadina Ave	2014-12-26 17:15	08m 51s
299	Trinity St /Front St E	2014-12-23 10:05	Simcoe St / Queen St W	2014-12-23 10:22	17m 08s
298	Dufferin St / Sylvan Av (Dufferin Grove Park)	2014-12-17 09:05	Bloor St W / Shaw Ave - SMART	2014-12-17 09:16	10m 30s
297	Salem Ave / Bloor St W	2014-12-16 10:49	HTO Park (Queens Quay W)	2014-12-16 11:10	20m 34s
296	Beltline Trail / Chaplin Cres.	2014-12-12 09:33	Phoebe St / Spadina Ave	2014-12-12 09:55	21m 50s
295	Wellesley St E / Yonge St (Green P)	2014-12-08 06:53	Cosburn Ave / Cedarvale Ave - SMART	2014-12-08 07:06	13m 02s
294	Phoebe St / Spadina Ave	2014-12-05 17:10	Gerrard St E / River St	2014-12-05 17:24	14m 10s
293	Gerrard St E / River St	2014-11-29 09:56	College St / Crawford St	2014-11-29 10:16	20m 34s
292	Yonge St / Aylmer Ave	2014-11-28 14:37	Wellesley St E / Yonge St (Green P)	2014-11-28 14:45	08m 32s
291	Lower Jarvis / Queens Quay E	2014-11-25 16:11	Antler St / Campbell Ave - SMART	2014-11-25 16:24	12m 27s
290	Marlborough Ave / Yonge St	2014-11-20 09:03	Pretoria Av / Broadview Av	2014-11-20 09:07	04m 31s
289	Queen St W / York St (City Hall)	2014-11-16 16:56	Phoebe St / Spadina Ave	2014-11-16 17:15	19m 16s
288	Queen St E / Berkeley St	2014-11-10 17:18	Queen St E / Sackville St	2014-11-10 17:31	13m 26s
287	Concord Ave / Bloor St W - SMART	2014-11-07 17:26	Davenport Rd / Oakwood Rd - SMART	2014-11-07 17:50	23m 22s
286	Queen St W / York St (City Hall)	2014-11-03 10:38	Antler St / Campbell Ave - SMART	2014-11-03 10:55	17m 14s
285	Davenport Rd / Christie St	2014-11-01 17:44	Phoebe St / Spadina Ave	2014-11-01 17:59	14m 48s
284	Queen St W / York St (City Hall)	2014-10-31 09:47	Cosburn Ave / Cedarvale Ave - SMART	2014-10-31 10:00	13m 18s
283	Briar Hill Ave / Yonge St - SMART	2014-10-29 11:02	Dupont St / Emerson Ave SMART	2014-10-29 11:24	22m 06s
282	Queen St W / York St (City Hall)	2014-10-26 10:06	Lakeshore Blvd W / Ellis Ave	2014-10-26 10:24	18m 41s
